port_key,Expiration,basis_pval
11,2010-12-31,2.779021412083754e-5
11,2011-03-31,2.870926589150821e-5
11,2011-06-30,5.311967687323055e-5
11,2011-09-30,2.961183257241964e-4
12,2009-09-30,0.6165896406646602
12,2009-12-31,0.8583407001671992
12,2010-03-31,0.33597141689639476
12,2010-06-30,1.7279161659501693e-4
12,2010-09-30,2.0321765535702905e-6
12,2010-12-31,2.9175875328438417e-6
12,2011-03-31,1.763455522044086e-4
12,2011-06-30,2.498626756349901e-4
12,2011-09-30,5.957159706642675e-4
13,2009-09-30,0.6008153674720951
13,2009-12-31,0.8404524298449542
13,2010-03-31,0.3204846114100388
13,2010-06-30,1.7590362664013758e-4
13,2010-09-30,2.9508777721852815e-6
13,2010-12-31,3.4033994334651742e-6
13,2011-03-31,1.439613505099068e-4
13,2011-06-30,2.0865392029789244e-4
13,2011-09-30,5.412116532269183e-4
14,2009-09-30,0.5551752691063366
14,2009-12-31,0.7881622360770595
14,2010-03-31,0.27782727259892925
14,2010-06-30,1.9640762861093504e-4
14,2010-09-30,9.801054396199154e-6
14,2010-12-31,6.325468679231797e-6
14,2011-03-31,7.776142453025842e-5
14,2011-06-30,1.2171624540964218e-4
14,2011-09-30,4.1585268489391207e-4
15,2009-09-30,0.5405489522474967
15,2009-12-31,0.771243891387553
15,2010-03-31,0.26484214017346075
15,2010-06-30,2.0763138094842372e-4
15,2010-09-30,1.483294098048005e-5
15,2010-12-31,8.163156399231275e-6
15,2011-03-31,6.353220593835349e-5
15,2011-06-30,1.0222615090096053e-4
15,2011-09-30,3.851486531780543e-4
16,2009-09-30,0.498513232238055
16,2009-12-31,0.7222127228478465
16,2010-03-31,0.2293991484371597
16,2010-06-30,2.5885891031317537e-4
16,2010-09-30,5.141337537304598e-5
16,2010-12-31,1.9737142818889413e-5
16,2011-03-31,3.6189256355933635e-5
16,2011-06-30,6.310511611359994e-5
16,2011-09-30,3.207576524595778e-4
17,2009-09-30,0.48512888509769114
17,2009-12-31,0.7064797530094695
17,2010-03-31,0.21870170618740836
17,2010-06-30,2.833211295096666e-4
17,2010-09-30,7.722596227376854e-5
17,2010-12-31,2.732961531947939e-5
17,2011-03-31,3.076437777406284e-5
17,2011-06-30,5.4888825364886524e-5
17,2011-09-30,3.0759934055780817e-4
18,2009-09-30,0.6094969728919443
18,2009-12-31,0.8362847926850216
18,2010-03-31,0.3150712643846652
18,2010-06-30,1.8369861441643823e-4
18,2010-09-30,3.507446193719434e-6
18,2010-12-31,3.4667668357675563e-6
18,2011-03-31,1.511686354867988e-4
18,2011-06-30,2.147575070517781e-4
18,2011-09-30,5.655612584490247e-4
19,2009-09-30,0.5942351747414736
19,2009-12-31,0.8189940504999575
19,2010-03-31,0.3006431212738565
19,2010-06-30,1.8895784929441375e-4
19,2010-09-30,5.124231292720815e-6
19,2010-12-31,4.152139341847118e-6
19,2011-03-31,1.236595290126758e-4
19,2011-06-30,1.7965568209073096e-4
19,2011-09-30,5.160667928152499e-4
20,2009-09-30,0.5792393691615929
20,2009-12-31,0.801930147808249
20,2010-03-31,0.2868220123429389
20,2010-06-30,1.9612788302852502e-4
20,2010-09-30,7.5701274168013144e-6
20,2010-12-31,5.100377296900266e-6
20,2011-03-31,1.0107721877098564e-4
