region_key,region_division,region_city,region_msa
330,ANTIOQUIA,FREDONIA,MINAS
331,ANTIOQUIA,FREDONIA,PUENTE IGLESIAS
332,ANTIOQUIA,FREDONIA,MARSELLA
333,ANTIOQUIA,FREDONIA,COMBIA GRANDE
334,ANTIOQUIA,FREDONIA,ZABALETAS
335,ANTIOQUIA,FREDONIA,EL ZANCUDO
336,ANTIOQUIA,FREDONIA,LA LOMA DEL PLAN
337,ANTIOQUIA,FREDONIA,EL PLAN
338,ANTIOQUIA,FREDONIA,UVITAL
339,ANTIOQUIA,FREDONIA,PIEDRA VERDE
340,ANTIOQUIA,FRONTINO,FRONTINO
341,ANTIOQUIA,FRONTINO,CARAUTA
342,ANTIOQUIA,FRONTINO,EL CERRO
343,ANTIOQUIA,FRONTINO,CHONTADURO
344,ANTIOQUIA,FRONTINO,MURRI
345,ANTIOQUIA,FRONTINO,MUSINGA
346,ANTIOQUIA,FRONTINO,NUTIBARA
347,ANTIOQUIA,FRONTINO,PONTON
348,ANTIOQUIA,FRONTINO,FUEMIA
349,ANTIOQUIA,FRONTINO,SAN LAZARO
350,ANTIOQUIA,FRONTINO,NOBOGA
351,ANTIOQUIA,FRONTINO,JENGAMECODA
352,ANTIOQUIA,FRONTINO,EL MADERO
353,ANTIOQUIA,FRONTINO,PANTANOS
354,ANTIOQUIA,FRONTINO,LA CLARITA - LAS MINAS
355,ANTIOQUIA,GIRALDO,GIRALDO
356,ANTIOQUIA,GIRALDO,MANGLAR
357,ANTIOQUIA,GIRALDO,PINGURO
358,ANTIOQUIA,GIRALDO,SIERRITA
359,ANTIOQUIA,GIRARDOTA,GIRARDOTA
360,ANTIOQUIA,GIRARDOTA,CABILDO
361,ANTIOQUIA,GIRARDOTA,LAS CUCHICHAS
362,ANTIOQUIA,GIRARDOTA,JAMUNDI
363,ANTIOQUIA,GIRARDOTA,LA CALLE
364,ANTIOQUIA,GIRARDOTA,SAN ESTEBAN
365,ANTIOQUIA,GOMEZ PLATA,GOMEZ PLATA
366,ANTIOQUIA,GOMEZ PLATA,EL SALTO
367,ANTIOQUIA,GOMEZ PLATA,SAN MATIAS
368,ANTIOQUIA,GOMEZ PLATA,LA ESTRELLA
369,ANTIOQUIA,GOMEZ PLATA,VEGA DE BOTERO
370,ANTIOQUIA,GOMEZ PLATA,CAÑAVERAL
371,ANTIOQUIA,GOMEZ PLATA,EL BRASIL
372,ANTIOQUIA,GOMEZ PLATA,EL CERRO
373,ANTIOQUIA,GRANADA,GRANADA
374,ANTIOQUIA,GRANADA,SANTA ANA
375,ANTIOQUIA,GRANADA,LOS MEDIOS
376,ANTIOQUIA,GUADALUPE,GUADALUPE
377,ANTIOQUIA,GUADALUPE,BARRIO NUEVO
378,ANTIOQUIA,GUADALUPE,EL MACHETE
379,ANTIOQUIA,GUADALUPE,LA BRAMADORA
380,ANTIOQUIA,GUADALUPE,PUENTE ACACIAS
381,ANTIOQUIA,GUARNE,GUARNE
382,ANTIOQUIA,GUATAPE,GUATAPE
383,ANTIOQUIA,HELICONIA,HELICONIA
384,ANTIOQUIA,HELICONIA,ALTO DEL CORRAL
385,ANTIOQUIA,HELICONIA,PUEBLITO
386,ANTIOQUIA,HELICONIA,LLANOS DE SAN JOSE
387,ANTIOQUIA,HELICONIA,LA CHORRERA
388,ANTIOQUIA,HELICONIA,EL HATILLO
389,ANTIOQUIA,HELICONIA,LA PAVA
390,ANTIOQUIA,HISPANIA,HISPANIA
391,ANTIOQUIA,ITAGÜI,ITAGÜI
392,ANTIOQUIA,ITAGÜI,LOS GOMEZ
393,ANTIOQUIA,ITAGÜI,EL AJIZAL
394,ANTIOQUIA,ITAGÜI,LA LOMA DE LOS ZULETA
395,ANTIOQUIA,ITAGÜI,EL PEDREGAL
396,ANTIOQUIA,ITAGÜI,EL PORVENIR
397,ANTIOQUIA,ITAGÜI,EL PROGRESO
398,ANTIOQUIA,ITAGÜI,LA MARIA
399,ANTIOQUIA,ITAGÜI,LOS OLIVARES
400,ANTIOQUIA,ITUANGO,ITUANGO
401,ANTIOQUIA,ITUANGO,BADILLO
402,ANTIOQUIA,ITUANGO,EL ARO - BUILOPOLIS
403,ANTIOQUIA,ITUANGO,LA GRANJA
404,ANTIOQUIA,ITUANGO,PASCUITA
405,ANTIOQUIA,ITUANGO,SANTA ANA
406,ANTIOQUIA,ITUANGO,SANTA LUCIA
407,ANTIOQUIA,ITUANGO,SANTA RITA
408,ANTIOQUIA,ITUANGO,PIO X LA FONDITA
409,ANTIOQUIA,JARDIN,JARDIN
410,ANTIOQUIA,JARDIN,CRISTIANIA
411,ANTIOQUIA,JARDIN,LA CASCADA
412,ANTIOQUIA,JARDIN,LA CASIANA
413,ANTIOQUIA,JERICO,JERICO
414,ANTIOQUIA,JERICO,LA CASCADA
415,ANTIOQUIA,JERICO,GUACAMAYAL
416,ANTIOQUIA,JERICO,EL SACATIN
417,ANTIOQUIA,JERICO,LA FE
418,ANTIOQUIA,LA CEJA,LA CEJA
419,ANTIOQUIA,LA CEJA,SAN JOSE
420,ANTIOQUIA,LA CEJA,VUELTECITAS
421,ANTIOQUIA,LA CEJA,SAN JUDAS
422,ANTIOQUIA,LA CEJA,SANTO DOMINGO SABIO
423,ANTIOQUIA,LA CEJA,TOLEDO
424,ANTIOQUIA,LA ESTRELLA,LA ESTRELLA
425,ANTIOQUIA,LA ESTRELLA,CALLE VIEJA
426,ANTIOQUIA,LA ESTRELLA,LA TABLACITA
427,ANTIOQUIA,LA ESTRELLA,SAGRADA FAMILIA
428,ANTIOQUIA,LA ESTRELLA,SAN JOSE - MELEGUINDO
429,ANTIOQUIA,LA ESTRELLA,LA RAYA
430,ANTIOQUIA,LA ESTRELLA,SAN ISIDRO
431,ANTIOQUIA,LA ESTRELLA,TARAPACA
432,ANTIOQUIA,LA ESTRELLA,SAN MIGUEL
433,ANTIOQUIA,LA ESTRELLA,LA BERMEJALA
434,ANTIOQUIA,LA ESTRELLA,PAN DE AZUCAR
435,ANTIOQUIA,LA ESTRELLA,PEÑAS BLANCAS
436,ANTIOQUIA,LA ESTRELLA,LA VIRGEN PARTE ALTA
437,ANTIOQUIA,LA PINTADA,LA PINTADA
438,ANTIOQUIA,LA UNION,LA UNION
439,ANTIOQUIA,LA UNION,MESOPOTAMIA
440,ANTIOQUIA,LA UNION,CHUSCALITO
441,ANTIOQUIA,LA UNION,LA CONCHA
442,ANTIOQUIA,LA UNION,MARIA AUXILIADORA
443,ANTIOQUIA,LIBORINA,LIBORINA
444,ANTIOQUIA,LIBORINA,EL CARMEN - LA VENTA
445,ANTIOQUIA,LIBORINA,LA HONDA
446,ANTIOQUIA,LIBORINA,LA MERCED (PLAYON)
447,ANTIOQUIA,LIBORINA,SAN DIEGO (PLACITA)
448,ANTIOQUIA,LIBORINA,CURITI
449,ANTIOQUIA,LIBORINA,EL POTRERO
450,ANTIOQUIA,LIBORINA,SAN CRISTOBAL
451,ANTIOQUIA,LIBORINA,BELEN
452,ANTIOQUIA,LIBORINA,SOBRESABANA
453,ANTIOQUIA,LIBORINA,EL GUAMAL
454,ANTIOQUIA,LIBORINA,LOS PEÑOLES
455,ANTIOQUIA,MACEO,MACEO
456,ANTIOQUIA,MACEO,LA SUSANA
457,ANTIOQUIA,MACEO,LA FLORESTA
458,ANTIOQUIA,MACEO,SAN JOSE DEL NUS (SAN JOSE DE NUESTRA SEÑORA)
459,ANTIOQUIA,MARINILLA,MARINILLA
460,ANTIOQUIA,MONTEBELLO,MONTEBELLO
461,ANTIOQUIA,MONTEBELLO,SABALETAS
462,ANTIOQUIA,MONTEBELLO,EL TABLAZO
463,ANTIOQUIA,MONTEBELLO,LOMA DEL VENADO
464,ANTIOQUIA,MONTEBELLO,EL CARMELO
465,ANTIOQUIA,MONTEBELLO,GETSEMANI
466,ANTIOQUIA,MONTEBELLO,LA GRANJA
467,ANTIOQUIA,MONTEBELLO,LA PEÑA
468,ANTIOQUIA,MONTEBELLO,PIEDRA GALANA
469,ANTIOQUIA,MONTEBELLO,ZARCITOS
470,ANTIOQUIA,MURINDO,MURINDO
