inst_key,inst_name,inst_country,inst_type,inst_category
117,CAJA PROMOTORA DE VIVIENDA MILITAR,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
118,FDO DE GTIAS DE ENT COOP-FOGACOOP,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
119,Fin. de Desarrollo Nacional S.A.,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
120,FINAGRO,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
121,FINDETER S.A.,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
122,FOGAFIN - FONDO DE GARANTIAS,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
123,FONADE,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
124,FONDO NACIONAL DE GARANTIAS S.A.,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
125,FONDO NACIONAL DEL AHORRO,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
126,ICETEX,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
127,AMV,COLOMBIA,PRIVADO,ORGANISMOS DE AUTORREGULACION
128,PRECIA PROVEEDOR DE PRECIOS PAR,COLOMBIA,PRIVADO,PROVEEDOR DE PRECIOS
129,PROVEEDOR INTEGRAL DE PRECIOS COLOM,COLOMBIA,PRIVADO,PROVEEDOR DE PRECIOS
130,ATH,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
131,ACH COLOMBIA,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
132,ASSENDA RED S.A.,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
133,CREDIBANCO,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
134,Mastercard Colombia Admin S.A. MCCA,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
135,REDEBAN  MULTICOLOR,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
136,SERVIBANCA,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
137,VISA COLOMBIA SUPPORT SERVICES S.A,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
138,VISIONAMOS,COLOMBIA,PRIVADO,SISTEMAS DE PAGO DE BAJO VALOR
139,DERIVEX S.A.,COLOMBIA,PRIVADO,SOC ADM SIST DE  NEG Y REG SOBRE VA
140,GFI SECURITIES COLOMBIA S.A.,COLOMBIA,PRIVADO,SOC ADM SIST DE  NEG Y REG SOBRE VA
141,SET-ICAP SECURITIES COLOMBIA S.A.,COLOMBIA,PRIVADO,SOC ADM SIST DE  NEG Y REG SOBRE VA
142,TRADITION SECURITIES COLOMBIA S.A.,COLOMBIA,PRIVADO,SOC ADM SIST DE  NEG Y REG SOBRE VA
143,CAMARA DE COMP DE DIVISAS D COLOMBI,COLOMBIA,PRIVADO,SOC ADM SIST DE COMP Y LIQ DE DIVIS
144,GFI EXCHANGE COLOMBIA S.A.,COLOMBIA,PRIVADO,SOC ADM SIST DE NEG Y REG DE DIVISA
145,SET ICAP FX S.A.,COLOMBIA,PRIVADO,SOC ADM SIST DE NEG Y REG DE DIVISA
146,TRADITION COLOMBIA S.A.,COLOMBIA,PRIVADO,SOC ADM SIST DE NEG Y REG DE DIVISA
147,AVAL SOLUCIONES DIGITALES S.A.,COLOMBIA,PRIVADO,SOC ESP DEPOSITOS Y PAGOS ELECTRONI
148,COINK S.A.,COLOMBIA,PRIVADO,SOC ESP DEPOSITOS Y PAGOS ELECTRONI
149,MOVII S.A. SEDPE,COLOMBIA,PRIVADO,SOC ESP DEPOSITOS Y PAGOS ELECTRONI
150,PAGOS GDE S.A.,COLOMBIA,PRIVADO,SOC ESP DEPOSITOS Y PAGOS ELECTRONI
151,TECNIPAGOS S.A.,COLOMBIA,PRIVADO,SOC ESP DEPOSITOS Y PAGOS ELECTRONI
152,OLD MUTUAL SOCIEDAD AFPC,COLOMBIA,PRIVADO,ADM FONDOS DE PENSIONES Y CESANTIAS
153,PORVENIR S.A.,COLOMBIA,PRIVADO,ADM FONDOS DE PENSIONES Y CESANTIAS
154,PROTECCION S.A.,COLOMBIA,PRIVADO,ADM FONDOS DE PENSIONES Y CESANTIAS
155,COLFONDOS S.A.,COLOMBIA,PRIVADO,ADM FONDOS DE PENSIONES Y CESANTIAS
156,DEPOSITO CENTRALIZADO DE VALORES DE COLOMBIA DECEVAL S.A.,COLOMBIA,PRIVADO,SOCIEDADES ADMINISTRADORAS DE DEPOSITOS CENTRALIZADOS V
157,PROGRESION SOCIEDAD ADMINISTRADORA DE INVERSION S.A.,COLOMBIA,PRIVADO,SOCIEDADES ADMINISTRADORAS DE INVERSION
158,SEAF COLOMBIA S.A. SOCIEDAD ADMINISTRADORA DE INVERSION,COLOMBIA,PRIVADO,SOCIEDADES ADMINISTRADORAS DE INVERSION
159,BRC INVESTOR SERVICES S.A. SOCIEDAD CALIFICADORA DE VALORES,COLOMBIA,PRIVADO,SOCIEDADES CALIFICADORAS DE VALORES
160,FITCH RATINGS COLOMBIA S.A. SOCIEDAD CALIFICADORA DE VALORES,COLOMBIA,PRIVADO,SOCIEDADES CALIFICADORAS DE VALORES
161,VALUE AND RISK RATING S.A.,COLOMBIA,PRIVADO,SOCIEDADES CALIFICADORAS DE VALORES
162,AGROBOLSA S.A. COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
163,BURSATILES GANADEROS DE COLOMBIA S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
164,COMISIONISTAS AGROPECUARIOS S.A. COMIAGRO S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
165,COMISIONISTAS FINANCIEROS AGROPECUARIOS S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
166,CORREAGRO S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
167,CORREDORES DE VALORES AGROPECUARIOS S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
168,GEOCAPITAL S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
169,MERCADO Y BOLSA S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
170,MIGUEL  QUIJANO  Y  COMPANIA  S. A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
171,RENTA Y CAMPO CORREDORES S.A.,COLOMBIA,PRIVADO,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS
172,LA EQUIDAD SEGUROS GENERALES,COLOMBIA,PRIVADO,SOCIEDADES COOPERATIVAS DE SEGUROS
173,SOLIDARIA,COLOMBIA,PRIVADO,SOCIEDADES COOPERATIVAS DE SEGUROS
174,AXA COLPATRIA CAPITALIZADORA S.A.,COLOMBIA,PRIVADO,SOCIEDADES DE CAPITALIZACION
175,BOLIVAR,COLOMBIA,PRIVADO,SOCIEDADES DE CAPITALIZACION
176,CAPITALIZADORA COLMENA S.A.,COLOMBIA,PRIVADO,SOCIEDADES DE CAPITALIZACION
177,ACCION FIDUCIARIA,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
178,ALIANZA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
179,ASHMORE INVESTMENT ADVISORS CO S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
180,BBVA FIDUCIARIA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
181,BNP PARIBAS SECURITIES SERVICES SOC,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
182,BTG PACTUAL,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
183,CITITRUST S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
184,Credicorp Capital Fiduciaria S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
185,FIDUAGRARIA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
186,FIDUCENTRAL S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
187,Fiduciaria Bancolombia S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
188,FIDUCIARIA BOGOTA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
189,FIDUCIARIA COLMENA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
190,FIDUCIARIA COLPATRIA,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
191,FIDUCIARIA CORFICOLOMBIANA S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
192,FIDUCIARIA DAVIVIENDA,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
193,FIDUCIARIA POPULAR S.A.,COLOMBIA,PRIVADO,SOCIEDADES FIDUCIARIAS
