type_from,type_to,inst_from,inst_to,inst_key
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,LEASING BANCOLDEX S.A.,LEASING BANCOLDEX S.A.,34
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,OPPORTUNITY INTERNATIONAL COLOMBIA,OPPORTUNITY INTERNATIONAL COLOMBIA,35
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,PAGOS INTERNACIONALES,PAGOS INTERNACIONALES,36
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,"RCI COLOMBIA S,A, COMPANIA DE FINAN",RCI COLOMBIA S.A. COMPANIA DE FINAN,37
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,RCI COLOMBIA S.A. COMPANIA DE FINAN,RCI COLOMBIA S.A. COMPANIA DE FINAN,37
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"ALLIANZ SEGUROS DE VIDA S,A,",ALLIANZ SEGUROS DE VIDA S.A.,38
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,ALLIANZ SEGUROS DE VIDA S.A.,ALLIANZ SEGUROS DE VIDA S.A.,38
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,AURORA VIDA,AURORA VIDA,39
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"AXA Colpatria  Seguros de Vida S,A,",AXA Colpatria  Seguros de Vida S.A.,40
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,AXA Colpatria  Seguros de Vida S.A.,AXA Colpatria  Seguros de Vida S.A.,40
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"BBVA SEGUROS DE VIDA COLOMBIA S,A,",BBVA SEGUROS DE VIDA COLOMBIA S.A.,41
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,BBVA SEGUROS DE VIDA COLOMBIA S.A.,BBVA SEGUROS DE VIDA COLOMBIA S.A.,41
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,BMI COLOMBIA COMPANIA ADE SEGUROS,BMI COLOMBIA COMPANIA ADE SEGUROS,42
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,BOLIVAR VIDA,BOLIVAR VIDA,43
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"GLOBAL SEGUROS DE VIDA S,A,",GLOBAL SEGUROS DE VIDA S.A.,44
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,GLOBAL SEGUROS DE VIDA S.A.,GLOBAL SEGUROS DE VIDA S.A.,44
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"HDI SEGUROS DE VIDA S,A,",HDI SEGUROS DE VIDA S.A.,45
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,HDI SEGUROS DE VIDA S.A.,HDI SEGUROS DE VIDA S.A.,45
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,LA EQUIDAD VIDA,LA EQUIDAD VIDA,46
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"MAPFRE COLOMBIA VIDA SEGUROS S,A,",MAPFRE COLOMBIA VIDA SEGUROS S.A.,47
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,MAPFRE COLOMBIA VIDA SEGUROS S.A.,MAPFRE COLOMBIA VIDA SEGUROS S.A.,47
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"METLIFE COLOMBIA SEGUROS DE VIDA S,",METLIFE COLOMBIA SEGUROS DE VIDA S.,48
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,METLIFE COLOMBIA SEGUROS DE VIDA S.,METLIFE COLOMBIA SEGUROS DE VIDA S.,48
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,Old Mutual Seguros de Vida,Old Mutual Seguros de Vida,49
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,PAN AMERICAN LIFE,PAN AMERICAN LIFE,50
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"POSITIVA COMPANIA DE SEGUROS S,A",POSITIVA COMPANIA DE SEGUROS S.A,51
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,POSITIVA COMPANIA DE SEGUROS S.A,POSITIVA COMPANIA DE SEGUROS S.A,51
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"RIESGOS PROFESIONALES COLMENA S,A,",RIESGOS PROFESIONALES COLMENA S.A.,52
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,RIESGOS PROFESIONALES COLMENA S.A.,RIESGOS PROFESIONALES COLMENA S.A.,52
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,SURAMERICANA VIDA,SURAMERICANA VIDA,53
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"VIDA ESTADO S,A,",VIDA ESTADO S.A.,54
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,VIDA ESTADO S.A.,VIDA ESTADO S.A.,54
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,"VIDALFA S,A,",VIDALFA S.A.,55
COMPANIAS DE SEGUROS DE VIDA,COMPANIAS DE SEGUROS DE VIDA,VIDALFA S.A.,VIDALFA S.A.,55
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"ALFA S,A,",ALFA S.A.,56
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,ALFA S.A.,ALFA S.A.,56
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"ALLIANZ SEGUROS S,A,",ALLIANZ SEGUROS S.A.,57
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,ALLIANZ SEGUROS S.A.,ALLIANZ SEGUROS S.A.,57
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,"AXA Colpatria Seguros S,A,",AXA Colpatria Seguros S.A.,58
COMPANIAS DE SEGUROS GENERALES,COMPANIAS DE SEGUROS GENERALES,AXA Colpatria Seguros S.A.,AXA Colpatria Seguros S.A.,58
